,Date,sensor,value
29,06/02/21 13:05:30,Temperatura,31.96288190329263
30,06/02/21 13:05:31,Temperatura,42.93101943467935
31,06/02/21 13:05:32,Temperatura,25.67212913584389
32,06/02/21 13:05:33,Temperatura,30.128826651251366
1,06/02/21 13:05:34,Maximo,42.93101943467935
1,06/02/21 13:05:34,Minimo,25.67212913584389
1,06/02/21 13:05:34,Promedio,32.67371428126681
1,06/02/21 13:05:34,Varianza,53.73874642593747
1,06/02/21 13:05:34,Mediana,31.045854277272
1,06/02/21 13:05:34,Desviacion,6.348547851237565
33,06/02/21 13:05:34,Temperatura,32.46967115000469
34,06/02/21 13:05:35,Temperatura,39.475102549021976
35,06/02/21 13:05:36,Temperatura,32.600225809512935
36,06/02/21 13:05:37,Temperatura,32.874055248563465
37,06/02/21 13:05:38,Temperatura,33.60134746310611
1,06/02/21 13:05:39,Maximo,42.93101943467935
1,06/02/21 13:05:39,Minimo,25.67212913584389
1,06/02/21 13:05:39,Promedio,33.52391770503071
1,06/02/21 13:05:39,Varianza,25.239647858584235
1,06/02/21 13:05:39,Mediana,32.600225809512935
1,06/02/21 13:05:39,Desviacion,4.73658553611816
38,06/02/21 13:05:39,Temperatura,31.456532620560594
39,06/02/21 13:05:40,Temperatura,34.21357820142206
40,06/02/21 13:05:41,Temperatura,22.52359391566651
41,06/02/21 13:05:42,Temperatura,27.625265296481132
1,06/02/21 13:05:42,Maximo,42.93101943467935
1,06/02/21 13:05:42,Minimo,22.52359391566651
1,06/02/21 13:05:42,Promedio,32.11801764456975
1,06/02/21 13:05:42,Varianza,28.06440871034434
1,06/02/21 13:05:42,Mediana,32.46967115000469
1,06/02/21 13:05:42,Desviacion,5.0897552043608005
42,06/02/21 13:05:43,Temperatura,35.14163415528272
43,06/02/21 13:05:44,Temperatura,22.262159571537516
1,06/02/21 13:05:45,Maximo,42.93101943467935
1,06/02/21 13:05:45,Minimo,22.26215957153752
1,06/02/21 13:05:45,Promedio,31.662534873748463
1,06/02/21 13:05:45,Varianza,31.424366526144077
1,06/02/21 13:05:45,Mediana,32.46967115000469
1,06/02/21 13:05:45,Desviacion,5.415663279574764
44,06/02/21 13:05:45,Temperatura,36.69848900691766
45,06/02/21 13:05:46,Temperatura,29.819784631479774
1,06/02/21 13:05:47,Maximo,42.93101943467935
1,06/02/21 13:05:47,Minimo,22.26215957153752
1,06/02/21 13:05:47,Promedio,31.850370396742612
1,06/02/21 13:05:47,Varianza,29.256118545619266
1,06/02/21 13:05:47,Mediana,32.46967115000469
1,06/02/21 13:05:47,Desviacion,5.247396535033059
46,06/02/21 13:05:47,Temperatura,35.56833214716416
47,06/02/21 13:05:48,Temperatura,29.858106243655737
48,06/02/21 13:05:49,Temperatura,24.93924446789426
1,06/02/21 13:05:50,Maximo,42.93101943467935
1,06/02/21 13:05:50,Minimo,22.26215957153752
